iter	RMSE
0	14.62342332
1	14.24633713
2	13.87581487
3	13.53561839
4	13.18414127
5	12.8736597
6	12.58966891
7	12.33120153
8	12.04675195
9	11.76345981
10	11.4772506
11	11.22803326
12	11.01731091
13	10.78710653
14	10.55335538
15	10.31690685
16	10.09968568
17	9.900667737
18	9.703220061
19	9.507729183
20	9.337769187
21	9.178631971
22	9.001863293
23	8.851550506
24	8.686522461
25	8.561558492
26	8.421360893
27	8.297354952
28	8.175725164
29	8.063287393
30	7.959312899
31	7.858088556
32	7.760766905
33	7.666546698
34	7.561414946
35	7.464093896
36	7.366999056
37	7.285591052
38	7.200840454
39	7.123963389
40	7.041849718
41	6.985216823
42	6.910789904
43	6.856278692
44	6.791236799
45	6.725397883
46	6.670699218
47	6.615237897
48	6.558691251
49	6.509949522
50	6.464859863
51	6.415033134
52	6.371041387
53	6.327515826
54	6.2878117
55	6.248160566
56	6.210872782
57	6.176961984
58	6.136273835
59	6.105006516
60	6.075642275
61	6.036282361
62	5.998706212
63	5.966765225
64	5.938421596
65	5.910635595
66	5.882836131
67	5.855179735
68	5.83100915
69	5.808285627
70	5.7838625
71	5.759175899
72	5.739977425
73	5.720886219
74	5.698778207
75	5.67672502
76	5.660196313
77	5.643531618
78	5.626151092
79	5.606137283
80	5.590338047
81	5.581191487
82	5.574672825
83	5.558087521
84	5.544414844
85	5.531209801
86	5.517157116
87	5.502572322
88	5.491760602
89	5.483284187
90	5.466782589
91	5.454030487
92	5.443559146
93	5.431474554
94	5.423164215
95	5.41442176
96	5.404960747
97	5.392202675
98	5.381760806
99	5.371825605
100	5.363600286
101	5.355222692
102	5.348681701
103	5.3420581
104	5.333070056
105	5.323958329
106	5.31703406
107	5.309518878
108	5.300374106
109	5.292837572
110	5.285968185
111	5.277095733
112	5.270594122
113	5.263823479
114	5.259331899
115	5.253304559
116	5.249488806
117	5.240989145
118	5.235614211
119	5.231225026
120	5.227895661
121	5.225568623
122	5.22008726
123	5.213633577
124	5.208200269
125	5.200128001
126	5.193556942
127	5.188545698
128	5.180397508
129	5.173137448
130	5.163851625
131	5.158688523
132	5.15183786
133	5.144402365
134	5.13950142
135	5.135564722
136	5.132702888
137	5.12863743
138	5.124051459
139	5.119401263
140	5.115215802
141	5.110061071
142	5.103926726
143	5.097140049
144	5.09105518
145	5.086773884
146	5.08275023
147	5.075526342
148	5.071874312
149	5.063801276
150	5.058194427
151	5.052864424
152	5.048475532
153	5.045876107
154	5.039674702
155	5.033975051
156	5.031058023
157	5.025278801
158	5.020375167
159	5.016558269
160	5.014010833
161	5.011514818
162	5.009944948
163	5.007779081
164	5.002523156
165	5.001710452
166	4.995773714
167	4.991530786
168	4.988225676
169	4.984871798
170	4.981561289
171	4.977840409
172	4.973714449
173	4.968825351
174	4.966504685
175	4.964627873
176	4.960814428
177	4.957255576
178	4.953202646
179	4.946758877
180	4.943927187
181	4.941145253
182	4.936363548
183	4.928540756
184	4.922167635
185	4.91714846
186	4.913646071
187	4.909338535
188	4.903538801
189	4.90054831
190	4.895510553
191	4.891147571
192	4.884026624
193	4.879157326
194	4.874413605
195	4.870323858
196	4.868259351
197	4.863908249
198	4.861112836
199	4.859210201
200	4.853916629
201	4.85087307
202	4.847214766
203	4.842061396
204	4.839346794
205	4.837705536
206	4.835754215
207	4.830718902
208	4.828296847
209	4.82520168
210	4.82206986
211	4.817837583
212	4.813072031
213	4.809608578
214	4.805856927
215	4.801337147
216	4.797768554
217	4.796234945
218	4.793641194
219	4.789633632
220	4.786672851
221	4.783626827
222	4.779904427
223	4.772067018
224	4.770374239
225	4.765990769
226	4.761672323
227	4.756275609
228	4.753375527
229	4.75123607
230	4.749223637
231	4.747375722
232	4.745401288
233	4.743434318
234	4.74083515
235	4.737477672
236	4.733998916
237	4.728559989
238	4.727189199
239	4.725708391
240	4.722298164
241	4.71903405
242	4.716176679
243	4.709534339
244	4.705169078
245	4.698876297
246	4.697059684
247	4.691947746
248	4.69029788
249	4.689045291
250	4.686955603
251	4.684638688
252	4.683149
253	4.680155241
254	4.676270934
255	4.674060924
256	4.672950537
257	4.670683098
258	4.666490185
259	4.662595368
260	4.660467165
261	4.65848702
262	4.652932971
263	4.651855403
264	4.649922196
265	4.647530045
266	4.643927043
267	4.640022521
268	4.635474081
269	4.632650157
270	4.629767794
271	4.628721537
272	4.625345741
273	4.622056037
274	4.616494433
275	4.615401291
276	4.610455429
277	4.605665005
278	4.601883159
279	4.596719527
280	4.593030689
281	4.591935797
282	4.58875108
283	4.583500628
284	4.582552073
285	4.580246679
286	4.574612634
287	4.572280121
288	4.569166401
289	4.568331661
290	4.566331259
291	4.561409871
292	4.559140143
293	4.558380066
294	4.555688123
295	4.553024728
296	4.547648853
297	4.542145714
298	4.538250575
299	4.537200776
300	4.530693967
301	4.527345184
302	4.525782462
303	4.522051371
304	4.517803149
305	4.515379948
306	4.510982198
307	4.508032104
308	4.503418151
309	4.498109626
310	4.49146387
311	4.487254366
312	4.482300812
313	4.475247348
314	4.470091247
315	4.466032234
316	4.465266308
317	4.46303172
318	4.458310509
319	4.456077367
320	4.453211519
321	4.452051862
322	4.448990962
323	4.446441052
324	4.445963544
325	4.443615897
326	4.437500058
327	4.436435811
328	4.433385899
329	4.43245667
330	4.429962261
331	4.429355354
332	4.424577706
333	4.420340912
334	4.417690546
335	4.414555545
336	4.409369879
337	4.405173912
338	4.399482791
339	4.39423622
340	4.390373468
341	4.385573011
342	4.382595652
343	4.381021023
344	4.374292645
345	4.370089067
346	4.366153217
347	4.365259719
348	4.360342981
349	4.355550551
350	4.355056814
351	4.348800309
352	4.344242524
353	4.341804409
354	4.339071949
355	4.335745121
356	4.331326973
357	4.33056418
358	4.326096274
359	4.32246688
360	4.319620243
361	4.314584233
362	4.310141804
363	4.307063993
364	4.306325761
365	4.305359277
366	4.302658332
367	4.300643088
368	4.299668456
369	4.296504689
370	4.293841789
371	4.290495169
372	4.28599326
373	4.281771371
374	4.277514694
375	4.275105607
376	4.271748498
377	4.269226717
378	4.266449545
379	4.265178531
380	4.262557856
381	4.260114817
382	4.259660227
383	4.256252812
384	4.25389178
385	4.251987936
386	4.24698391
387	4.246333389
388	4.24433216
389	4.243276347
390	4.239484517
391	4.238942968
392	4.238261928
393	4.237475148
394	4.236741755
395	4.236094042
396	4.232702937
397	4.228718745
398	4.225757541
399	4.221802752
400	4.218353759
401	4.217262597
402	4.214927902
403	4.214527829
404	4.211273889
405	4.207843999
406	4.20400035
407	4.202586347
408	4.198188772
409	4.192309456
410	4.190845811
411	4.186031229
412	4.185423197
413	4.18486584
414	4.180720658
415	4.176348442
416	4.172578799
417	4.170252892
418	4.165864903
419	4.162181286
420	4.157692564
421	4.154691594
422	4.15062367
423	4.150178232
424	4.147639817
425	4.144007407
426	4.139362638
427	4.136169748
428	4.134399839
429	4.13229239
430	4.131774968
431	4.129560095
432	4.126073135
433	4.121656157
434	4.117212674
435	4.11637678
436	4.114336918
437	4.113272246
438	4.109679155
439	4.106590901
440	4.106199946
441	4.104409845
442	4.101844979
443	4.098531871
444	4.096532619
445	4.093615939
446	4.093224992
447	4.089834052
448	4.088300286
449	4.08664816
450	4.083177621
451	4.080133626
452	4.075168415
453	4.070488833
454	4.067525094
455	4.065928779
456	4.06221259
457	4.058359664
458	4.05665967
459	4.056188355
460	4.053184605
461	4.0528221
462	4.04851002
463	4.045700942
464	4.0411976
465	4.03738889
466	4.033755818
467	4.030296329
468	4.025128997
469	4.020943904
470	4.017303305
471	4.01643933
472	4.013004105
473	4.010579354
474	4.008281865
475	4.007435495
476	4.003566274
477	3.999559339
478	3.996809169
479	3.992806749
480	3.991095273
481	3.990519152
482	3.987517069
483	3.985726361
484	3.983638215
485	3.979436145
486	3.976493323
487	3.97272729
488	3.970384691
489	3.966678979
490	3.966009662
491	3.962765042
492	3.960930841
493	3.957140463
494	3.952273234
495	3.950825436
496	3.948322186
497	3.945146926
498	3.942891532
499	3.942423059
500	3.93838408
501	3.936772899
502	3.934162952
503	3.931206135
504	3.928691355
505	3.925171084
506	3.923592617
507	3.921499738
508	3.92030151
509	3.919576208
510	3.915728154
511	3.912421981
512	3.9097125
513	3.908421167
514	3.907955707
515	3.905657628
516	3.90393109
517	3.902411564
518	3.898104445
519	3.897566265
520	3.894334286
521	3.890565909
522	3.887040254
523	3.883770747
524	3.883278547
525	3.880798009
526	3.87767559
527	3.873349965
528	3.872758609
529	3.869792528
530	3.865905197
531	3.862764199
532	3.857961763
533	3.855330537
534	3.852945736
535	3.849965773
536	3.845607255
537	3.844923034
538	3.843331478
539	3.842777273
540	3.842208093
541	3.839255943
542	3.83554139
543	3.832805702
544	3.828870182
545	3.824745292
546	3.821315875
547	3.818676466
548	3.817577072
549	3.817286225
550	3.814941406
551	3.81071877
552	3.807970881
553	3.805001815
554	3.803375155
555	3.801432568
556	3.798803196
557	3.796379742
558	3.792816849
559	3.791537415
560	3.788215537
561	3.787446662
562	3.786888323
563	3.784010578
564	3.781701624
565	3.780380205
566	3.776714697
567	3.772371107
568	3.770530922
569	3.767678679
570	3.765110767
571	3.763299179
572	3.761420082
573	3.758885943
574	3.757536438
575	3.755122789
576	3.752112481
577	3.750577572
578	3.747610983
579	3.744793421
580	3.741409544
581	3.739429122
582	3.735328084
583	3.729941383
584	3.726616868
585	3.722788825
586	3.719361324
587	3.718148152
588	3.715005112
589	3.711529181
590	3.710843806
591	3.707935703
592	3.706689778
593	3.706124532
594	3.704769639
595	3.70383835
596	3.701175633
597	3.698133127
598	3.695222384
599	3.692031751
600	3.689563443
601	3.688287887
602	3.685764741
603	3.681661669
604	3.679373244
605	3.678897379
606	3.675785701
607	3.675341719
608	3.673490625
609	3.672361809
610	3.670410577
611	3.668228912
612	3.666141392
613	3.664849083
614	3.661042973
615	3.658364493
616	3.65470155
617	3.652349278
618	3.648351607
619	3.644708547
620	3.642965912
621	3.641439625
622	3.637959801
623	3.635634776
624	3.634443208
625	3.631298064
626	3.628012548
627	3.625475457
628	3.623412654
629	3.620221412
630	3.619288165
631	3.616274125
632	3.615556902
633	3.614326105
634	3.611017701
635	3.608262701
636	3.605347972
637	3.604144404
638	3.601072003
639	3.600260199
640	3.597467259
641	3.595603115
642	3.592720426
643	3.590974016
644	3.589022991
645	3.585421833
646	3.584417617
647	3.581709977
648	3.580089276
649	3.579007171
650	3.576490382
651	3.575339608
652	3.574233475
653	3.572353451
654	3.571305215
655	3.568961528
656	3.566580331
657	3.563117477
658	3.559994873
659	3.558407397
660	3.557012379
661	3.554640266
662	3.551667622
663	3.550455531
664	3.547795465
665	3.547338938
666	3.546806357
667	3.543769832
668	3.539853499
669	3.539093791
670	3.536872088
671	3.534385757
672	3.534027049
673	3.532683942
674	3.530932457
675	3.528841561
676	3.525890504
677	3.523075388
678	3.518296202
679	3.517004591
680	3.514854647
681	3.51179239
682	3.511448773
683	3.508985545
684	3.506279747
685	3.504281901
686	3.501088974
687	3.499700883
688	3.497871123
689	3.496859675
690	3.494203743
691	3.491884642
692	3.491176597
693	3.488541958
694	3.487476487
695	3.485107364
696	3.483272713
697	3.480563692
698	3.477046847
699	3.476746815
700	3.47584571
701	3.472844884
702	3.47032768
703	3.46933957
704	3.466550198
705	3.465466806
706	3.464506358
707	3.463368531
708	3.461831751
709	3.458789915
710	3.455929905
711	3.453268911
712	3.452235642
713	3.449982538
714	3.445961837
715	3.44444912
716	3.444040833
717	3.442244105
718	3.438922134
719	3.435201451
720	3.434553728
721	3.432718507
722	3.43144086
723	3.429722183
724	3.427681837
725	3.42628213
726	3.42385068
727	3.423532838
728	3.421057176
729	3.419410973
730	3.416910353
731	3.416528388
732	3.414430403
733	3.412514262
734	3.412132571
735	3.411021415
736	3.409692687
737	3.409375748
738	3.406706989
739	3.403563426
740	3.400854841
741	3.400296869
742	3.399006107
743	3.398639502
744	3.39653299
745	3.392794404
746	3.38997045
747	3.385630428
748	3.381812704
749	3.379190418
750	3.376952946
751	3.374639108
752	3.374345827
753	3.373355951
754	3.37166001
755	3.370690126
756	3.369443658
757	3.367076067
758	3.364992047
759	3.362517549
760	3.361809036
761	3.360648866
762	3.358200457
763	3.357964396
764	3.356879263
765	3.354365456
766	3.353712367
767	3.352988514
768	3.351944608
769	3.348596953
770	3.348078043
771	3.347570066
772	3.344363484
773	3.343929366
774	3.342725371
775	3.34003165
776	3.337099055
777	3.336521932
778	3.33476259
779	3.332260736
780	3.331704178
781	3.331024892
782	3.33067761
783	3.330386262
784	3.330099
785	3.327255618
786	3.326354869
787	3.325538226
788	3.325262407
789	3.323041878
790	3.322375186
791	3.322064756
792	3.32014041
793	3.318278117
794	3.316111822
795	3.314601796
796	3.314377201
797	3.31279614
798	3.30946319
799	3.308071836
800	3.306874543
801	3.304700676
802	3.301888397
803	3.300081612
804	3.297567521
805	3.294801142
806	3.294379616
807	3.293869522
808	3.290458456
809	3.290113255
810	3.288943106
811	3.286772033
812	3.285698799
813	3.284450849
814	3.283026149
815	3.280999213
816	3.280824326
817	3.278609512
818	3.27596491
819	3.273311316
820	3.271585306
821	3.270218062
822	3.268684194
823	3.267776992
824	3.265927925
825	3.264074691
826	3.263175414
827	3.262192557
828	3.261023422
829	3.260163035
830	3.258576721
831	3.255870674
832	3.255729067
833	3.255223103
834	3.254720643
835	3.254526773
836	3.252511134
837	3.251880836
838	3.250173025
839	3.248833982
840	3.246802689
841	3.24651022
842	3.245908952
843	3.244664917
844	3.242050319
845	3.241387694
846	3.240412459
847	3.239014681
848	3.236825637
849	3.236302923
850	3.234880391
851	3.234548909
852	3.232460905
853	3.231486553
854	3.231222542
855	3.230926535
856	3.229335893
857	3.227836256
858	3.224295442
859	3.223917679
860	3.223733933
861	3.221795596
862	3.221622893
863	3.219986991
864	3.218857256
865	3.217351258
866	3.214925487
867	3.21265905
868	3.210314603
869	3.209954132
870	3.208366064
871	3.206155682
872	3.204173183
873	3.20234902
874	3.20206341
875	3.201279977
876	3.20017599
877	3.199194102
878	3.199021068
879	3.197247012
880	3.197102883
881	3.196378799
882	3.193452791
883	3.192757133
884	3.190562111
885	3.190349327
886	3.189673209
887	3.187289181
888	3.184848965
889	3.183082494
890	3.182011972
891	3.180905796
892	3.180676074
893	3.178685982
894	3.177314635
895	3.17592656
896	3.174960819
897	3.171707714
898	3.171193609
899	3.169552818
900	3.167675571
901	3.166526683
902	3.16621602
903	3.164637201
904	3.1633424
905	3.162363422
906	3.160955312
907	3.159223762
908	3.158286163
909	3.158133887
910	3.155159396
911	3.152558544
912	3.151183826
913	3.149094714
914	3.147839784
915	3.145944872
916	3.145764476
917	3.142946418
918	3.141491434
919	3.140538587
920	3.138315368
921	3.137810877
922	3.136524325
923	3.134084169
924	3.131862132
925	3.131399044
926	3.12894241
927	3.128448864
928	3.127549165
929	3.126499596
930	3.124727762
931	3.124476131
932	3.122067993
933	3.121214081
934	3.119426045
935	3.119215656
936	3.117382321
937	3.115439145
938	3.113380578
939	3.112457982
940	3.111737813
941	3.111536397
942	3.109636988
943	3.108088828
944	3.106737669
945	3.105095617
946	3.103706381
947	3.102176827
948	3.10178634
949	3.099283673
950	3.097085387
951	3.096110285
952	3.095941993
953	3.094432413
954	3.09395666
955	3.091285281
956	3.089560352
957	3.087492806
958	3.086569883
959	3.084434766
960	3.084288235
961	3.083468795
962	3.081563842
963	3.080015539
964	3.078142799
965	3.077424646
966	3.07591217
967	3.074056443
968	3.073914424
969	3.072322597
970	3.071608035
971	3.070894202
972	3.070658392
973	3.068559813
974	3.068177564
975	3.067318975
976	3.065096992
977	3.064142927
978	3.063664654
979	3.063487441
980	3.062357071
981	3.062076039
982	3.06074591
983	3.060630549
984	3.058138196
985	3.057899783
986	3.056881491
987	3.056157944
988	3.054617407
989	3.051944312
990	3.048429598
991	3.045071926
992	3.043835383
993	3.043619364
994	3.042530936
995	3.040412496
996	3.037933909
997	3.037018413
998	3.03593085
999	3.034801261
