iter	Passed	Remaining
0	179	179529
1	180	90265
2	182	60748
3	183	45726
4	184	36798
5	186	30842
6	186	26521
7	187	23297
8	188	20783
9	191	18997
10	192	17329
11	193	15949
12	194	14767
13	195	13785
14	196	12908
15	197	12143
16	198	11473
17	199	10871
18	200	10338
19	200	9844
20	201	9401
21	202	9004
22	203	8638
23	204	8297
24	204	7986
25	205	7704
26	206	7443
27	207	7200
28	208	6973
29	209	6773
30	210	6573
31	211	6386
32	211	6212
33	212	6043
34	213	5887
35	216	5793
36	217	5655
37	218	5523
38	219	5397
39	219	5278
40	220	5165
41	222	5064
42	222	4962
43	223	4862
44	224	4764
45	225	4671
46	226	4583
47	227	4508
48	228	4438
49	229	4361
50	230	4286
51	231	4213
52	231	4142
53	232	4074
54	233	4008
55	234	3945
56	234	3884
57	235	3829
58	236	3772
59	237	3717
60	238	3668
61	239	3620
62	240	3570
63	241	3524
64	242	3484
65	243	3442
66	244	3399
67	244	3357
68	245	3314
69	246	3274
70	247	3234
71	248	3201
72	249	3170
73	250	3134
74	251	3098
75	252	3064
76	252	3031
77	253	2999
78	254	2968
79	255	2938
80	257	2918
81	258	2889
82	258	2856
83	259	2828
84	260	2799
85	260	2771
86	261	2744
87	262	2716
88	262	2690
89	263	2661
90	263	2635
91	264	2611
92	265	2587
93	266	2566
94	267	2546
95	268	2523
96	268	2501
97	269	2478
98	270	2459
99	271	2445
100	272	2426
101	273	2407
102	274	2387
103	274	2367
104	275	2348
105	276	2330
106	277	2311
107	277	2293
108	278	2275
109	279	2258
110	280	2244
111	280	2227
112	282	2214
113	283	2199
114	283	2184
115	284	2169
116	285	2155
117	286	2142
118	287	2128
119	288	2115
120	289	2105
121	290	2093
122	293	2091
123	295	2084
124	296	2072
125	297	2060
126	297	2048
127	298	2035
128	299	2023
129	300	2013
130	301	2000
131	302	1988
132	303	1977
133	304	1965
134	304	1954
135	306	1944
136	306	1932
137	307	1920
138	308	1909
139	309	1899
140	309	1888
141	310	1878
142	311	1869
143	314	1869
144	315	1859
145	316	1849
146	316	1838
147	317	1829
148	318	1818
149	319	1808
150	319	1798
151	320	1789
152	322	1783
153	323	1778
154	325	1775
155	329	1783
156	333	1789
157	336	1793
158	338	1789
159	339	1782
160	340	1776
161	342	1770
162	343	1763
163	345	1763
164	347	1757
165	347	1747
166	348	1739
167	349	1732
168	351	1726
169	352	1719
170	353	1713
171	354	1706
172	355	1698
173	358	1701
174	359	1695
175	360	1688
176	361	1682
177	362	1675
178	364	1671
179	365	1665
180	368	1669
181	370	1667
182	372	1662
183	373	1658
184	374	1651
185	375	1644
186	377	1642
187	378	1636
188	381	1635
189	382	1630
190	384	1627
191	387	1631
192	389	1628
193	391	1626
194	392	1620
195	393	1613
196	394	1607
197	395	1600
198	395	1593
199	396	1587
200	397	1581
201	399	1577
202	400	1571
203	402	1571
204	405	1570
205	406	1566
206	407	1561
207	409	1557
208	412	1560
209	413	1556
210	416	1558
211	419	1559
212	421	1558
213	423	1557
214	424	1550
215	426	1546
216	427	1541
217	429	1539
218	431	1540
219	434	1540
220	435	1534
221	437	1533
222	440	1533
223	442	1534
224	446	1537
225	449	1538
226	451	1536
227	452	1531
228	454	1529
229	455	1525
230	457	1523
231	458	1519
232	460	1517
233	461	1512
234	463	1509
235	466	1510
236	470	1514
237	472	1513
238	474	1512
239	476	1507
240	477	1504
241	478	1500
242	481	1500
243	483	1498
244	486	1497
245	487	1494
246	490	1496
247	492	1494
248	493	1489
249	495	1485
250	497	1484
251	498	1478
252	500	1478
253	505	1483
254	508	1485
255	511	1487
256	513	1483
257	517	1487
258	518	1484
259	520	1482
260	522	1479
261	524	1478
262	526	1474
263	528	1474
264	530	1471
265	532	1468
266	533	1464
267	536	1464
268	536	1458
269	537	1454
270	538	1449
271	539	1444
272	546	1454
273	547	1450
274	548	1446
275	550	1442
276	552	1440
277	553	1438
278	555	1434
279	556	1430
280	557	1425
281	558	1422
282	563	1428
283	565	1425
284	566	1420
285	566	1415
286	567	1410
287	568	1405
288	571	1406
289	573	1403
290	575	1401
291	576	1397
292	577	1393
293	580	1393
294	585	1399
295	588	1398
296	589	1396
297	591	1393
298	592	1389
299	598	1395
300	600	1394
301	601	1391
302	609	1402
303	610	1398
304	611	1393
305	612	1389
306	613	1385
307	616	1384
308	617	1381
309	619	1378
310	620	1374
311	628	1386
312	632	1388
313	637	1392
314	638	1389
315	639	1385
316	641	1382
317	643	1379
318	645	1377
319	647	1376
320	651	1378
321	654	1379
322	658	1379
323	659	1375
324	660	1371
325	661	1368
326	662	1364
327	663	1360
328	664	1356
329	667	1356
330	669	1352
331	670	1348
332	674	1350
333	676	1349
334	679	1348
335	684	1352
336	685	1348
337	686	1344
338	691	1348
339	692	1344
340	694	1341
341	696	1340
342	698	1337
343	698	1332
344	699	1328
345	700	1324
346	701	1320
347	702	1316
348	704	1314
349	705	1310
350	706	1306
351	707	1302
352	708	1298
353	710	1296
354	712	1293
355	713	1291
356	715	1289
357	716	1285
358	719	1284
359	722	1285
360	725	1284
361	726	1280
362	728	1278
363	729	1274
364	730	1271
365	731	1267
366	733	1265
367	734	1261
368	736	1259
369	738	1256
370	739	1253
371	740	1249
372	741	1245
373	742	1242
374	742	1238
375	744	1234
376	745	1232
377	747	1229
378	748	1226
379	749	1222
380	750	1218
381	751	1214
382	751	1210
383	753	1207
384	754	1204
385	754	1200
386	758	1201
387	760	1199
388	761	1196
389	764	1195
390	765	1192
391	766	1188
392	766	1184
393	767	1180
394	768	1177
395	769	1173
396	770	1170
397	771	1166
398	772	1163
399	775	1163
400	776	1159
401	777	1155
402	778	1153
403	779	1149
404	780	1146
405	780	1142
406	781	1139
407	782	1135
408	783	1132
409	786	1132
410	787	1129
411	789	1126
412	790	1123
413	792	1122
414	794	1119
415	795	1116
416	796	1113
417	797	1110
418	798	1107
419	800	1105
420	805	1107
421	805	1103
422	807	1101
423	808	1098
424	809	1095
425	810	1091
426	811	1089
427	812	1085
428	814	1083
429	815	1080
430	818	1079
431	822	1081
432	823	1078
433	824	1075
434	825	1071
435	826	1068
436	827	1065
437	827	1062
438	829	1059
439	834	1061
440	836	1060
441	837	1057
442	839	1055
443	840	1052
444	841	1049
445	842	1046
446	845	1045
447	847	1043
448	848	1041
449	849	1038
450	851	1036
451	855	1036
452	856	1034
453	857	1031
454	859	1029
455	860	1026
456	865	1028
457	866	1025
458	868	1023
459	871	1023
460	873	1021
461	874	1018
462	878	1019
463	880	1017
464	881	1014
465	883	1011
466	884	1009
467	885	1007
468	888	1006
469	890	1004
470	892	1002
471	894	1000
472	895	997
473	897	996
474	899	993
475	900	990
476	901	988
477	902	985
478	905	985
479	907	982
480	909	980
481	910	978
482	911	975
483	914	975
484	916	972
485	917	969
486	918	967
487	919	964
488	923	964
489	924	961
490	925	959
491	926	956
492	927	953
493	928	950
494	928	947
495	931	946
496	932	943
497	933	940
498	934	937
499	935	935
500	936	932
501	937	929
502	938	927
503	939	924
504	941	922
505	941	919
506	942	916
507	943	913
508	944	911
509	945	908
510	946	905
511	947	902
512	948	900
513	950	898
514	952	896
515	952	893
516	953	891
517	954	888
518	955	885
519	956	883
520	958	881
521	960	879
522	961	876
523	962	874
524	963	872
525	966	870
526	967	868
527	968	865
528	968	862
529	969	860
530	970	857
531	971	854
532	972	851
533	974	850
534	974	847
535	975	844
536	976	841
537	977	839
538	978	836
539	979	834
540	980	831
541	981	829
542	982	826
543	983	824
544	985	822
545	986	820
546	987	817
547	988	814
548	988	812
549	989	809
550	990	807
551	991	804
552	991	801
553	993	799
554	994	797
555	996	795
556	998	793
557	999	791
558	1000	789
559	1001	786
560	1002	784
561	1003	781
562	1006	781
563	1007	778
564	1009	777
565	1010	774
566	1012	773
567	1014	771
568	1015	769
569	1016	766
570	1018	764
571	1020	763
572	1022	762
573	1024	760
574	1025	757
575	1026	755
576	1027	753
577	1028	750
578	1029	748
579	1029	745
580	1030	743
581	1031	740
582	1032	738
583	1035	737
584	1037	735
585	1038	733
586	1040	732
587	1047	733
588	1048	731
589	1049	729
590	1051	727
591	1053	726
592	1055	724
593	1057	722
594	1058	720
595	1059	718
596	1060	716
597	1061	713
598	1068	715
599	1070	713
600	1071	711
601	1072	709
602	1074	707
603	1076	705
604	1077	703
605	1078	701
606	1079	698
607	1082	697
608	1085	696
609	1088	695
